Detail ID,Detail Status,Product Family,Usage Batch Name,Fiscal Year,RRO Account #,RRO Name,Payment Date,Title,Article,Standard Number,Wr Wrk Inst,RH Account #,RH Name,Publisher,Pub Date,Number of Copies,Reported value,Amt in USD,Gross Amt in USD,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,,,,,,,,,,,,119,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,120,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,121,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,122,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,123,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,124,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,125,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,126,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,127,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,128,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,129,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,130,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,131,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,132,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,133,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,134,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,135,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,136,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,137,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,138,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,139,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,140,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,141,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,142,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,143,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,144,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,145,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,146,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,147,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,148,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,149,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,150,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,151,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,152,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,153,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,154,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,155,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,156,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,157,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,158,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,159,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,160,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,161,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,162,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,163,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,164,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,165,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,166,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,167,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,168,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,169,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,170,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,171,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,172,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,173,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,174,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,175,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,176,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,177,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,178,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,179,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,180,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,181,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,182,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,183,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,184,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,185,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,186,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,187,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,188,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,189,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,190,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,191,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,192,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,193,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,194,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,195,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,196,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,197,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,198,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,199,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,200,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,201,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,202,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,203,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,204,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,205,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,206,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,207,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,208,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,209,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,210,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,211,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,212,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,213,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,214,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,215,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,216,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,217,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,218,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,219,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,220,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,221,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,222,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,223,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,224,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,225,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,226,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,227,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,228,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,229,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,230,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,231,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,232,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,233,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,234,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,235,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
,,,,,,,,,,,,,,,,,,,,,,,,236,Detail ID: Field is required and cannot be null or empty; Detail Status: Field is required and cannot be null or empty; Detail Status: Usage status should be 'WORK_RESEARCH'; Wr Wrk Inst: Field is required and cannot be null or empty
