Assessment Name,Coverage Year,Grade,Wr Wrk Inst,Reported Work Portion ID,Reported Standard Number,Reported Title,Reported Media Type,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Page Range,Reported Vol/Number/Series,Comment,Line,Error Reason
,2019-2020,L,122980288,a190,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,231,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a191,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,232,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a192,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,233,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a193,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,234,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a194,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,235,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a195,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,236,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a196,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,237,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a197,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,238,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a198,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,239,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a199,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,240,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a200,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,241,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a201,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,242,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a202,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,243,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a203,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,244,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a204,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,245,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a205,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,246,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a206,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,247,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a207,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,248,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a208,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,249,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a209,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,250,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a210,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,251,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a211,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,252,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a212,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,253,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a213,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,254,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a214,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,255,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a215,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,256,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a216,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,257,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a217,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,258,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a218,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,259,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a219,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,260,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a220,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,261,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a221,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,262,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a222,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,263,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a223,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,264,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a224,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,265,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a225,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,266,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a226,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,267,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a227,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,268,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a228,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,269,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a229,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,270,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a230,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,271,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a231,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,272,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a232,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,273,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a233,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,274,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a234,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,275,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a235,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,276,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a236,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,277,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a237,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,278,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a238,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,279,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a239,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,280,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a240,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,281,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a241,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,282,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a242,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,283,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a243,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,284,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a244,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,285,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a245,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,286,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a246,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,287,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a247,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,288,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a248,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,289,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a249,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,290,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a250,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,291,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a251,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,292,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a252,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,293,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a253,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,294,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a254,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,295,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a255,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,296,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a256,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,297,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a257,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,298,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a258,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,299,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a259,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,300,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a260,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,301,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a261,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,302,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a262,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,303,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a263,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,304,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a264,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,305,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a265,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,306,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a266,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,307,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a267,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,308,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a268,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,309,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a269,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,310,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a270,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,311,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a271,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,312,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a272,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,313,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a273,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,314,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a274,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,315,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a275,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,316,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a276,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,317,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a277,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,318,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a278,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,319,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a279,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,320,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a280,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,321,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a281,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,322,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a282,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,323,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a283,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,324,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a284,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,325,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a285,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,326,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a286,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,327,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a287,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,328,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a288,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,329,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a289,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,330,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a290,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,331,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a291,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,332,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a292,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,333,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a293,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,334,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a294,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,335,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a295,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,336,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a296,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,337,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a297,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,338,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a298,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,339,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a299,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,340,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a300,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,341,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a301,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,342,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a302,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,343,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a303,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,344,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a304,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,345,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a305,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,346,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a306,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,347,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
