Wr Wrk Inst,Institution,Usage Source,Number of Copies,Number of Pages,Comment,Line,Error Reason
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,198,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,199,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,200,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,201,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,202,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,203,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,204,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,205,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,206,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,207,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,208,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,209,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,210,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,211,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,212,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,213,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,214,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,215,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,216,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,217,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,218,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,219,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,220,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,221,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,222,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,223,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,224,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,225,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,226,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,227,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,228,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,229,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,230,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,231,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,232,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,233,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,234,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,235,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,236,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,237,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,238,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,239,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,240,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,241,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,242,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,243,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,244,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,245,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,246,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,247,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,248,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,249,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,250,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,251,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,252,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,253,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,254,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,255,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,256,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,257,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,258,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,259,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,260,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,261,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,262,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,263,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,264,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,265,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,266,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,267,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,268,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,269,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,270,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,271,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,272,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,273,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,274,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,275,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,276,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,277,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,278,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,279,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,280,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,281,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,282,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,283,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,284,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,285,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,286,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,287,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,288,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,289,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,290,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,291,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,292,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,293,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,294,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,295,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,296,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,297,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,298,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,299,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,300,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,301,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,302,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,303,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,304,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,305,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,306,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,307,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,308,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,309,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,310,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,311,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,312,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,313,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,314,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,315,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,316,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,317,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,318,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,319,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,320,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,321,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,322,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,323,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,324,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,325,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,326,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,327,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,328,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,329,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,330,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,331,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,332,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,333,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,334,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,335,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,336,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,337,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,338,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,339,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,340,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,341,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,342,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,343,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,344,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,345,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,346,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,347,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,348,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,349,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,350,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,351,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,352,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,353,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,354,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,355,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,356,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,357,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,358,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,359,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,360,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,361,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,362,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,363,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,364,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,365,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,366,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,367,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,368,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,369,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,370,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,371,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,372,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,CORNELL UNIVERSITY,,10,14,,373,Row is incorrect: Expected columns count is 6 actual 11
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,374,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,375,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,376,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,377,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,378,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,379,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,380,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,381,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,382,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,383,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,384,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,385,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,386,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,387,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,388,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,389,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,390,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,UNIV. OF MICHIGAN,Aug 2019 TUR,2,7,,391,Wr Wrk Inst: Field is required and cannot be null or empty
,University of Chicago,Feb 2018 TUR,3,,,392,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
,CORNELL UNIVERSITY,,10,14,,393,Wr Wrk Inst: Field is required and cannot be null or empty; Usage Source: Field is required and cannot be null or empty
,WESTERN MICHIGAN UNIVERSITY,Aug 2018 TUR,30,,,394,Wr Wrk Inst: Field is required and cannot be null or empty; Number of Pages: Field is required and cannot be null or empty
