Detail ID,Title,Article,Standard Number,Wr Wrk Inst,RH Acct Number,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Line,Error Reason
10000320,Social work (1956- ),Lab Competency Skills,12345XX-135439,123456789,1000009849,,11/16/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,205,Market Period From: Field is required and cannot be null or empty
10000321,SPIE institutes for advanced optical technologies (1962- ),SPIE 1897,12345XX-137734,123456789,1000029852,,11/17/2013,,23.25,Univ,,2015,,206,Market Period From: Field is required and cannot be null or empty
10000322,SPIE institutes for advanced optical technologies (1962- ),8th European Congress of Radiology,12345XX-137735,123456789,1000009249,,11/18/2013,,23.25,Univ,,2015,,207,Market Period From: Field is required and cannot be null or empty
10000323,SPIE institutes for advanced optical technologies (1962- ),SPIE 1897,12345XX-137738,123456789,1000015788,,11/19/2013,,23.25,Univ,,2015,,208,Market Period From: Field is required and cannot be null or empty
10000324,SPIE institutes for advanced optical technologies (1962- ),8th European Congress of Radiology,12345XX-137739,123456789,1000004280,,11/20/2013,,23.25,Univ,,2015,,209,Market Period From: Field is required and cannot be null or empty
10000325,Sports medicine : reviews of applied medicine and science in sport and exercise (1984- ),Excerpts from Sports Medicine,12345XX-138224,123456789,1000003418,,11/21/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,210,Market Period From: Field is required and cannot be null or empty
10000326,Sports medicine : reviews of applied medicine and science in sport and exercise (1984- ),Excerpts from Sports Medicine,12345XX-138233,123456789,1000009706,,11/22/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,211,Market Period From: Field is required and cannot be null or empty
10000327,Street & Smith's SportsBusiness journal (1998- ),DUPONT RACES BACK TO OFFER MORE NASCAR HOSPITALITY,12345XX-139977,123456789,1000009744,,11/23/2013,,23.25,Univ,,2015,,212,Market Period From: Field is required and cannot be null or empty
10000328,Street & Smith's SportsBusiness journal (1998- ),NASCAR PARTNERS MAKE B2B DEBUT,12345XX-139978,123456789,1000019413,,11/24/2013,,23.25,Univ,,2015,,213,Market Period From: Field is required and cannot be null or empty
10000329,Street & Smith's SportsBusiness journal (1998- ),HELTON1088.89 BERNARD TO ADDRESS GANASSI SPONSORS,12345XX-139979,123456789,1000023021,,11/25/2013,,23.25,Univ,,2015,,214,Market Period From: Field is required and cannot be null or empty
10000330,Street & Smith's SportsBusiness journal (1998- ),EFFECTIVE1088.89 CREATIVE ACTIVATION GIVES NAMING RIGHTS MORE IMPACT,12345XX-139982,123456789,1000034622,,11/26/2013,,23.25,Univ,,2015,,215,Market Period From: Field is required and cannot be null or empty
10000331,Street & Smith's SportsBusiness journal (1998- ),NFL DRAFT: SPONSORS MAKE THEIR SELECTIONS,12345XX-139983,123456789,1000018100,,11/27/2013,,23.25,Univ,,2015,,216,Market Period From: Field is required and cannot be null or empty
10000332,Street & Smith's SportsBusiness journal (1998- ),MERCHANDISE A POWERFUL ACTIVATION TOOL FOR TEAMS1088.89 SPONSORS,12345XX-139984,123456789,1000008856,,11/28/2013,,23.25,Univ,,2015,,217,Market Period From: Field is required and cannot be null or empty
10000333,Street & Smith's SportsBusiness journal (1998- ),VIDEO MIRRORS GIVE ADS NEW HOME AT STADIUMS,12345XX-139986,123456789,1000003094,,11/29/2013,,23.25,Univ,,2015,,218,Market Period From: Field is required and cannot be null or empty
10000334,Street & Smith's SportsBusiness journal (1998- ),NAMING RIGHTS SEED AVIVA REBRANDING IN IRELAND,12345XX-139987,123456789,1000018088,,11/30/2013,,23.25,Univ,,2015,,219,Market Period From: Field is required and cannot be null or empty
10000335,Street & Smith's SportsBusiness journal (1998- ),TAKE STEPS TO UNDERSTAND HOW YOUR BUSINESS IS PERCEIVED,12345XX-139989,123456789,1000024975,,12/1/2013,,23.25,Univ,,2015,,220,Market Period From: Field is required and cannot be null or empty
10000336,Street & Smith's SportsBusiness journal (1998- ),REALISM A VITAL COMPONENT IN ANY ROI ASSESSMENT,12345XX-139990,123456789,1000001263,,12/2/2013,,23.25,Univ,,2015,,221,Market Period From: Field is required and cannot be null or empty
10000337,Street & Smith's SportsBusiness journal (1998- ),TO GET THE MOST OUT OF PARTNERSHIP1088.89 BRANDS SHOULD AIM HIGH,12345XX-139991,123456789,1000006689,,12/3/2013,,23.25,Univ,,2015,,222,Market Period From: Field is required and cannot be null or empty
10000338,Street & Smith's SportsBusiness journal (1998- ),RESULTS OF CANADIAN SPONSORSHIP STUDY RELEVEANT FOR EVERYONE,12345XX-139992,123456789,1000016052,,12/4/2013,,23.25,Univ,,2015,,223,Market Period From: Field is required and cannot be null or empty
10000339,Street & Smith's SportsBusiness journal (1998- ),U.S. OPEN MAD AS ALE OVER ADS,12345XX-139993,123456789,1000031633,,12/5/2013,,23.25,Univ,,2015,,224,Market Period From: Field is required and cannot be null or empty
10000340,Street & Smith's SportsBusiness journal (1998- ),NYRR TEAM GOES GUERRILLA HUNTING,12345XX-139994,123456789,1000027028,,12/6/2013,,23.25,Univ,,2015,,225,Market Period From: Field is required and cannot be null or empty
10000341,Street & Smith's SportsBusiness journal (1998- ),WHEN ATHLETES BECOME LEGENDS1088.89 DO THEIR SPONSORS ALSO?,12345XX-139995,123456789,1000026106,,12/7/2013,,23.25,Univ,,2015,,226,Market Period From: Field is required and cannot be null or empty
10000342,Street & Smith's SportsBusiness journal (1998- ),HOW IMPACT OF 'TIGER RECESSION'  CHANGED ATHLETE MARKETABILITY,12345XX-139996,123456789,1000016701,,12/8/2013,,23.25,Univ,,2015,,227,Market Period From: Field is required and cannot be null or empty
10000343,Street & Smith's SportsBusiness journal (1998- ),EQUITY DEAL CAN BE SMART-MONEY PLAY FOR ATHLETE ENDORSER,12345XX-139998,123456789,1000023707,,12/9/2013,,23.25,Univ,,2015,,228,Market Period From: Field is required and cannot be null or empty
10000344,Street & Smith's SportsBusiness journal (1998- ),DUPONT RACES BACK TO OFFER MORE NASCAR HOSPITALITY,12345XX-140136,123456789,1000024983,,12/10/2013,,23.25,Univ,,2015,,229,Market Period From: Field is required and cannot be null or empty
10000345,Street & Smith's SportsBusiness journal (1998- ),NASCAR PARTNERS MAKE B2B DEBUT,12345XX-140137,123456789,1000027908,,12/11/2013,,23.25,Univ,,2015,,230,Market Period From: Field is required and cannot be null or empty
10000346,Street & Smith's SportsBusiness journal (1998- ),HELTON1088.89 BERNARD TO ADDRESS GANASSI SPONSORS,12345XX-140138,123456789,1000022949,,12/12/2013,,23.25,Univ,,2015,,231,Market Period From: Field is required and cannot be null or empty
10000347,Street & Smith's SportsBusiness journal (1998- ),EFFECTIVE1088.89 CREATIVE ACTIVATION GIVES NAMING RIGHTS MORE IMPACT,12345XX-140141,123456789,1000016117,,12/13/2013,,23.25,Univ,,2015,,232,Market Period From: Field is required and cannot be null or empty
10000348,Street & Smith's SportsBusiness journal (1998- ),NFL DRAFT: SPONSORS MAKE THEIR SELECTIONS,12345XX-140142,123456789,1000016799,,12/14/2013,,23.25,Univ,,2015,,233,Market Period From: Field is required and cannot be null or empty
10000349,Street & Smith's SportsBusiness journal (1998- ),MERCHANDISE A POWERFUL ACTIVATION TOOL FOR TEAMS1088.89 SPONSORS,12345XX-140143,123456789,1000024563,,12/15/2013,,23.25,Univ,,2015,,234,Market Period From: Field is required and cannot be null or empty
10000350,Street & Smith's SportsBusiness journal (1998- ),VIDEO MIRRORS GIVE ADS NEW HOME AT STADIUMS,12345XX-140145,123456789,1000018252,,12/16/2013,,23.25,Univ,,2015,,235,Market Period From: Field is required and cannot be null or empty
10000351,Street & Smith's SportsBusiness journal (1998- ),NAMING RIGHTS SEED AVIVA REBRANDING IN IRELAND,12345XX-140146,123456789,1000021661,,12/17/2013,,23.25,Univ,,2015,,236,Market Period From: Field is required and cannot be null or empty
10000352,Street & Smith's SportsBusiness journal (1998- ),TAKE STEPS TO UNDERSTAND HOW YOUR BUSINESS IS PERCEIVED,12345XX-140148,123456789,1000018495,,12/18/2013,,23.25,Univ,,2015,,237,Market Period From: Field is required and cannot be null or empty
10000353,Street & Smith's SportsBusiness journal (1998- ),REALISM A VITAL COMPONENT IN ANY ROI ASSESSMENT,12345XX-140149,123456789,1000033552,,12/19/2013,,23.25,Univ,,2015,,238,Market Period From: Field is required and cannot be null or empty
10000354,Street & Smith's SportsBusiness journal (1998- ),TO GET THE MOST OUT OF PARTNERSHIP1088.89 BRANDS SHOULD AIM HIGH,12345XX-140150,123456789,1000009094,,12/20/2013,,23.25,Univ,,2015,,239,Market Period From: Field is required and cannot be null or empty
10000355,Street & Smith's SportsBusiness journal (1998- ),RESULTS OF CANADIAN SPONSORSHIP STUDY RELEVEANT FOR EVERYONE,12345XX-140151,123456789,1000010105,,12/21/2013,,23.25,Univ,,2015,,240,Market Period From: Field is required and cannot be null or empty
10000356,Street & Smith's SportsBusiness journal (1998- ),U.S. OPEN MAD AS ALE OVER ADS,12345XX-140152,123456789,1000001266,,12/22/2013,,23.25,Univ,,2015,,241,Market Period From: Field is required and cannot be null or empty
10000357,Street & Smith's SportsBusiness journal (1998- ),NYRR TEAM GOES GUERRILLA HUNTING,12345XX-140153,123456789,1000001265,,12/23/2013,,23.25,Univ,,2015,,242,Market Period From: Field is required and cannot be null or empty
10000358,Street & Smith's SportsBusiness journal (1998- ),WHEN ATHLETES BECOME LEGENDS1088.89 DO THEIR SPONSORS ALSO?,12345XX-140154,123456789,1000026767,,12/24/2013,,23.25,Univ,,2015,,243,Market Period From: Field is required and cannot be null or empty
10000359,Street & Smith's SportsBusiness journal (1998- ),HOW IMPACT OF 'TIGER RECESSION'  CHANGED ATHLETE MARKETABILITY,12345XX-140155,123456789,1000023120,,12/25/2013,,23.25,Univ,,2015,,244,Market Period From: Field is required and cannot be null or empty
10000360,Street & Smith's SportsBusiness journal (1998- ),EQUITY DEAL CAN BE SMART-MONEY PLAY FOR ATHLETE ENDORSER,12345XX-140157,123456789,1000024978,,12/26/2013,,23.25,Univ,,2015,,245,Market Period From: Field is required and cannot be null or empty
10000361,Surgical services management,Infection Prevention and the Surgical Conscience,12345XX-141413,123456789,1000007436,,12/27/2013,,23.25,Univ,,2015,,246,Market Period From: Field is required and cannot be null or empty
10000362,Surgical services management,Infection Prevention and the Surgical Conscience,12345XX-141429,123456789,1000019229,,12/28/2013,,23.25,Univ,,2015,,247,Market Period From: Field is required and cannot be null or empty
10000363,Telos (1968- ),The Reagan Revolution: 1978-1981,12345XX-144186,123456789,1000015884,,12/29/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,248,Market Period From: Field is required and cannot be null or empty
10000364,Telos (1968- ),The Reagan Revolution: 1978-1981,12345XX-144190,123456789,1000024994,,12/30/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,249,Market Period From: Field is required and cannot be null or empty
10000365,The collected poems1088.89 1931-1987,And Yet the Books,12345XX-151652,123456789,1000019877,,12/31/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,250,Market Period From: Field is required and cannot be null or empty
10000366,The collected poems1088.89 1931-1987,And Yet the Books,12345XX-151654,123456789,1000009949,,1/1/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,251,Market Period From: Field is required and cannot be null or empty
10000367,The cosmographical glass : Renaissance diagrams of the universe,The Geocentric Universe According to Aspian,12345XX-152930,123456789,1000024850,,1/2/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,252,Market Period From: Field is required and cannot be null or empty
10000368,The cosmographical glass : Renaissance diagrams of the universe,The Universe as a Hierarchy of the Elements the Planetary Spheres and the Christian heaven,12345XX-152931,123456789,1000001896,,1/3/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,253,Market Period From: Field is required and cannot be null or empty
10000369,The cosmographical glass : Renaissance diagrams of the universe,The Cosmographical Glass,12345XX-152932,123456789,1000001267,,1/4/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,254,Market Period From: Field is required and cannot be null or empty
10000370,The cosmographical glass : Renaissance diagrams of the universe,Cosmographia,12345XX-152933,123456789,1000001268,,1/5/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,255,Market Period From: Field is required and cannot be null or empty
10000371,The cosmographical glass : Renaissance diagrams of the universe,The Geocentric Universe According to Aspian,12345XX-152946,123456789,1000006905,,1/6/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,256,Market Period From: Field is required and cannot be null or empty
10000372,The cosmographical glass : Renaissance diagrams of the universe,The Universe as a Hierarchy of the Elements the Planetary Spheres and the Christian heaven,12345XX-152947,123456789,1000007065,,1/7/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,257,Market Period From: Field is required and cannot be null or empty
10000373,The cosmographical glass : Renaissance diagrams of the universe,The Cosmographical Glass,12345XX-152948,123456789,1000033057,,1/8/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,258,Market Period From: Field is required and cannot be null or empty
10000374,The cosmographical glass : Renaissance diagrams of the universe,Cosmographia,12345XX-152949,123456789,1000002820,,1/9/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.,259,Market Period From: Field is required and cannot be null or empty
10000375,The door (1989-2000),Pastor Tilton's Seed-Faith,12345XX-154926,123456789,1000000297,,1/10/2014,,23.25,Univ,,2015,,260,Market Period From: Field is required and cannot be null or empty
10000376,The door (1989-2000),Pastor Tilton's Seed-Faith,12345XX-154927,123456789,1000031656,,1/11/2014,,23.25,Univ,,2015,,261,Market Period From: Field is required and cannot be null or empty
10000377,The essential physics of medical imaging,The essential physics of medical imaging 2nd ED,12345XX-156092,123456789,1000002243,,1/12/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,262,Market Period From: Field is required and cannot be null or empty
10000378,The essential physics of medical imaging,Image--Noise interferes with our ability to detect contrast,12345XX-156100,123456789,1000016572,,1/13/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,263,Market Period From: Field is required and cannot be null or empty
10000379,The essential physics of medical imaging,Image--Noise interferes with our ability to detect contrast,12345XX-156105,123456789,1000020480,,1/14/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,264,Market Period From: Field is required and cannot be null or empty
10000380,The essential physics of medical imaging,The essential physics of medical imaging 2nd ED,12345XX-156119,123456789,1000018605,,1/15/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,265,Market Period From: Field is required and cannot be null or empty
10000381,The essential physics of medical imaging,Image--Noise interferes with our ability to detect contrast,12345XX-156127,123456789,1000006916,,1/16/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,266,Market Period From: Field is required and cannot be null or empty
10000382,The essential physics of medical imaging,Image--Noise interferes with our ability to detect contrast,12345XX-156132,123456789,1000029492,,1/17/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,267,Market Period From: Field is required and cannot be null or empty
10000383,The futurist (1967- ),Science pursues happiness,12345XX-157785,123456789,1000014519,,1/18/2014,,23.25,Univ,,2015,,268,Market Period From: Field is required and cannot be null or empty
10000384,The futurist (1967- ),Science pursues happiness,12345XX-157827,123456789,1000002137,,1/19/2014,,23.25,Univ,,2015,,269,Market Period From: Field is required and cannot be null or empty
10000385,The hidden curriculum : practical solutions for understanding unstated rules in social situations,Lists of Curriculum Items,12345XX-159396,123456789,1000010068,,1/20/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,270,Market Period From: Field is required and cannot be null or empty
10000386,The hidden curriculum : practical solutions for understanding unstated rules in social situations,Lists of Curriculum Items,12345XX-159399,123456789,1000018836,,1/21/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,271,Market Period From: Field is required and cannot be null or empty
10000387,The journal of clinical investigation = JCI (1924- ),Excerpt from Journal of Clinical Investigation,12345XX-161727,123456789,1000023703,,1/22/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,272,Market Period From: Field is required and cannot be null or empty
10000388,The journal of clinical investigation = JCI (1924- ),Excerpt from Journal of Clinical Investigation,12345XX-161731,123456789,1000013619,,1/23/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,273,Market Period From: Field is required and cannot be null or empty
10000389,The journal of neuroscience (1981- ),Excerpts from The Journal of Neuroscience,12345XX-162504,123456789,1000029177,,1/24/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,274,Market Period From: Field is required and cannot be null or empty
10000390,The journal of neuroscience (1981- ),Excerpts from The Journal of Neuroscience,12345XX-162511,123456789,1000028481,,1/25/2014,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,,275,Market Period From: Field is required and cannot be null or empty
10000391,The journal of nursing education (1962- ),Humbling thoughts (For members of the curriculum committee and others),12345XX-162721,123456789,1000020987,,1/26/2014,,23.25,Univ,,2015,,276,Market Period From: Field is required and cannot be null or empty
10000392,The journal of nursing education (1962- ),Humbling thoughts (For members of the curriculum committee and others),12345XX-162819,123456789,1000024990,,1/27/2014,,23.25,Univ,,2015,,277,Market Period From: Field is required and cannot be null or empty
10000393,The journal of perinatal & neonatal nursing (1987- ),My Heart Swells with Love,12345XX-162950,123456789,1000024982,,1/28/2014,,23.25,Univ,,2015,,278,Market Period From: Field is required and cannot be null or empty
10000394,The journal of perinatal & neonatal nursing (1987- ),My Heart Swells with Love,12345XX-163066,123456789,1000031763,,1/29/2014,,23.25,Univ,,2015,,279,Market Period From: Field is required and cannot be null or empty
10000395,The last picture show : artists using photography1088.89 1960-1982,my files of movie stills,12345XX-164044,123456789,1000024960,,1/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,280,Market Period From: Field is required and cannot be null or empty
10000564,Day care and early education (1973- ),When Parents Say Good-Bye,12345XX-36336,123456789,1000008129,,7/18/2014,,23.25,Univ,,2015,,281,Market Period From: Field is required and cannot be null or empty
10000565,Day care and early education (1973- ),Two's are not Preschoolers,12345XX-36340,123456789,1000031996,,7/19/2014,,23.25,Univ,,2015,,282,Market Period From: Field is required and cannot be null or empty
10000566,Diagnostic and statistical manual of mental disorders : DSM-IV-TR,global assessment of functioning (GAF) Scale,12345XX-38171,123456789,1000019265,,7/20/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,283,Market Period From: Field is required and cannot be null or empty
10000567,Diagnostic and statistical manual of mental disorders : DSM-IV-TR,global assessment of functioning (GAF) Scale,12345XX-38192,123456789,1000024984,,7/21/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,284,Market Period From: Field is required and cannot be null or empty
10000568,Dictionary of feminist theologies,Methodologies,12345XX-38393,123456789,1000033726,,7/22/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,285,Market Period From: Field is required and cannot be null or empty
10000569,Dictionary of feminist theologies,Incarnation,12345XX-38394,123456789,1000004318,,7/23/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,286,Market Period From: Field is required and cannot be null or empty
10000570,Dictionary of feminist theologies,Evil,12345XX-38395,123456789,1000013348,,7/24/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,287,Market Period From: Field is required and cannot be null or empty
10000571,Dictionary of feminist theologies,Sin,12345XX-38396,123456789,1000030918,,7/25/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,288,Market Period From: Field is required and cannot be null or empty
10000572,Dictionary of feminist theologies,?Grace,12345XX-38397,123456789,1000011157,,7/26/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,289,Market Period From: Field is required and cannot be null or empty
10000605,Forbes (1918- ),Forbes.com,12345XX-53623,123456789,1000022183,,8/28/2014,,23.25,Univ,,2015,,290,Market Period From: Field is required and cannot be null or empty
10000606,Fundamentals of industrial hygiene,,12345XX-55699,123456789,1000010505,,8/29/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,291,Market Period From: Field is required and cannot be null or empty
10000607,Fundamentals of industrial hygiene,,12345XX-55701,123456789,1000015572,,8/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,292,Market Period From: Field is required and cannot be null or empty
10000608,Galen on the affected parts : translation from the Greek text with explanatory notes,,12345XX-55954,123456789,1000010044,,8/31/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,293,Market Period From: Field is required and cannot be null or empty
10000609,Galen on the affected parts : translation from the Greek text with explanatory notes,HSC2220,12345XX-55958,123456789,1000016330,,9/1/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,294,Market Period From: Field is required and cannot be null or empty
10000610,Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55959,123456789,1000016834,,9/2/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,295,Market Period From: Field is required and cannot be null or empty
10000611,Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55960,123456789,1000013238,,9/3/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,296,Market Period From: Field is required and cannot be null or empty
10000612,Galen on the affected parts : translation from the Greek text with explanatory notes,,12345XX-55963,123456789,1000029236,,9/4/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,297,Market Period From: Field is required and cannot be null or empty
10000613,Galen on the affected parts : translation from the Greek text with explanatory notes,HSC2220,12345XX-55967,123456789,1000014399,,9/5/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,298,Market Period From: Field is required and cannot be null or empty
10000614,Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55968,123456789,1000008080,,9/6/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,299,Market Period From: Field is required and cannot be null or empty
10000615,Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55969,123456789,1000009396,,9/7/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,300,Market Period From: Field is required and cannot be null or empty
10000616,Galen on the usefulness of the parts of the body : Peri chreias morion [romanized form] De usu partium,HSC2220,12345XX-55970,123456789,1000010935,,9/8/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,301,Market Period From: Field is required and cannot be null or empty
10000617,Galen on the usefulness of the parts of the body : Peri chreias morion [romanized form] De usu partium,HSC2220,12345XX-55971,123456789,1000019164,,9/9/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,302,Market Period From: Field is required and cannot be null or empty
10000618,German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57985,123456789,1000018628,,9/10/2014,,23.25,Univ,,2015,,303,Market Period From: Field is required and cannot be null or empty
10000619,German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57986,123456789,1000013309,,9/11/2014,,23.25,Univ,,2015,,304,Market Period From: Field is required and cannot be null or empty
10000620,German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57990,123456789,1000016526,,9/12/2014,,23.25,Univ,,2015,,305,Market Period From: Field is required and cannot be null or empty
10000621,German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57991,123456789,1000011459,,9/13/2014,,23.25,Univ,,2015,,306,Market Period From: Field is required and cannot be null or empty
10000622,Groundwater and wells,,12345XX-60679,123456789,1000022998,,9/14/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,307,Market Period From: Field is required and cannot be null or empty
10000623,Groundwater and wells,,12345XX-60681,123456789,1000006208,,9/15/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,308,Market Period From: Field is required and cannot be null or empty
10000624,Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61026,123456789,1000002854,,9/16/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,309,Market Period From: Field is required and cannot be null or empty
10000625,Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61028,123456789,1000027583,,9/17/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,310,Market Period From: Field is required and cannot be null or empty
10000626,Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61031,123456789,1000009922,,9/18/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,311,Market Period From: Field is required and cannot be null or empty
10000627,Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61033,123456789,1000014078,,9/19/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,312,Market Period From: Field is required and cannot be null or empty
10000628,Harvard business review (1922- ),Harvard Business Review,12345XX-63100,123456789,1000009692,,9/20/2014,,23.25,Univ,,2015,,313,Market Period From: Field is required and cannot be null or empty
10000629,Harvard business review (1922- ),Harvard Business Review,12345XX-63223,123456789,1000010134,,9/21/2014,,23.25,Univ,,2015,,314,Market Period From: Field is required and cannot be null or empty
10000630,Harvard Business School bulletin,Harvard Business School,12345XX-63419,123456789,1000012819,,9/22/2014,,23.25,Univ,,2015,,315,Market Period From: Field is required and cannot be null or empty
10000631,Harvard Business School bulletin,Harvard Business School,12345XX-63420,123456789,1000026445,,9/23/2014,,23.25,Univ,,2015,,316,Market Period From: Field is required and cannot be null or empty
10000632,Harvard Business School bulletin,Harvard Business School,12345XX-63421,123456789,1000007450,,9/24/2014,,23.25,Univ,,2015,,317,Market Period From: Field is required and cannot be null or empty
10000633,Harvard Business School bulletin,Harvard Business School,12345XX-63529,123456789,1000002228,,9/25/2014,,23.25,Univ,,2015,,318,Market Period From: Field is required and cannot be null or empty
10000634,Harvard Business School bulletin,Harvard Business School,12345XX-63530,123456789,1000019484,,9/26/2014,,23.25,Univ,,2015,,319,Market Period From: Field is required and cannot be null or empty
10000635,Harvard Business School bulletin,Harvard Business School,12345XX-63531,123456789,1000034415,,9/27/2014,,23.25,Univ,,2015,,320,Market Period From: Field is required and cannot be null or empty
10000636,Heresies (1977-1993),Seven Hypotheses on Female and Male Principles of Architecture,12345XX-64748,123456789,1000008337,,9/28/2014,,23.25,Univ,,2015,,321,Market Period From: Field is required and cannot be null or empty
10000637,Heresies (1977-1993),Seven Hypotheses on Female and Male Principles of Architecture,12345XX-64760,123456789,1000008164,,9/29/2014,,23.25,Univ,,2015,,322,Market Period From: Field is required and cannot be null or empty
10000638,Horse conformation : structure1088.89 soundness1088.89 and performance,,12345XX-66385,123456789,1000014618,,9/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,323,Market Period From: Field is required and cannot be null or empty
10000639,Horse conformation : structure1088.89 soundness1088.89 and performance,,12345XX-66394,123456789,1000014617,,10/1/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,324,Market Period From: Field is required and cannot be null or empty
10000640,Human embryology & developmental biology,PHL2130,12345XX-67386,123456789,1000021779,,10/2/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,325,Market Period From: Field is required and cannot be null or empty
10000641,Human embryology & developmental biology,PHL2130,12345XX-67391,123456789,1000001185,,10/3/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,326,Market Period From: Field is required and cannot be null or empty
10000642,Information systems management (1991- ),,12345XX-70508,123456789,1000005200,,10/4/2014,,23.25,Univ,,2015,,327,Market Period From: Field is required and cannot be null or empty
10000643,Information systems management (1991- ),,12345XX-70511,123456789,1000010965,,10/5/2014,,23.25,Univ,,2015,,328,Market Period From: Field is required and cannot be null or empty
10000644,Intensive care medicine,Intensive care medicine 32(9),12345XX-71492,123456789,1000017045,,10/6/2014,,23.25,Univ,,2015,,329,Market Period From: Field is required and cannot be null or empty
10000645,Intensive care medicine,organ donation in paediatric traumatic brain injury,12345XX-71494,123456789,1000027448,,10/7/2014,,23.25,Univ,,2015,,330,Market Period From: Field is required and cannot be null or empty
