Title,Article,Standard Number,Wr Wrk Inst,RH Account #,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Comment,Line,Error Reason
The journal of clinical investigation = JCI (1924- ),Excerpt from Journal of Clinical Investigation,12345XX-161731,123456789,1000013619,,1/23/2014,,23.25,,,2015,,,273,Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The journal of neuroscience (1981- ),Excerpts from The Journal of Neuroscience,12345XX-162504,123456789,1000029177,,1/24/2014,,23.25,,,2015,,,274,Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The journal of neuroscience (1981- ),Excerpts from The Journal of Neuroscience,12345XX-162511,123456789,1000028481,,1/25/2014,,23.25,,,2015,,,275,Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The journal of nursing education (1962- ),Humbling thoughts (For members of the curriculum committee and others),12345XX-162721,123456789,1000020987,,1/26/2014,,23.25,Univ,,2015,,,276,Market Period From: Field is required and cannot be null or empty
The journal of nursing education (1962- ),Humbling thoughts (For members of the curriculum committee and others),12345XX-162819,123456789,1000024990,,1/27/2014,,23.25,Univ,,2015,,,277,Market Period From: Field is required and cannot be null or empty
The journal of perinatal & neonatal nursing (1987- ),My Heart Swells with Love,12345XX-162950,123456789,1000024982,,1/28/2014,,23.25,Univ,,2015,,,278,Market Period From: Field is required and cannot be null or empty
The journal of perinatal & neonatal nursing (1987- ),My Heart Swells with Love,12345XX-163066,123456789,1000031763,,1/29/2014,,23.25,Univ,,2015,,,279,Market Period From: Field is required and cannot be null or empty
The last picture show : artists using photography1088.89 1960-1982,my files of movie stills,12345XX-164044,123456789,1000024960,,1/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,280,Market Period From: Field is required and cannot be null or empty
Day care and early education (1973- ),When Parents Say Good-Bye,12345XX-36336,123456789,1000008129,,7/18/2014,,23.25,Univ,,2015,,,281,Market Period From: Field is required and cannot be null or empty
Day care and early education (1973- ),Two's are not Preschoolers,12345XX-36340,123456789,1000031996,,7/19/2014,,23.25,Univ,,2015,,,282,Market Period From: Field is required and cannot be null or empty
Diagnostic and statistical manual of mental disorders : DSM-IV-TR,global assessment of functioning (GAF) Scale,12345XX-38171,123456789,1000019265,,7/20/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,283,Market Period From: Field is required and cannot be null or empty
Diagnostic and statistical manual of mental disorders : DSM-IV-TR,global assessment of functioning (GAF) Scale,12345XX-38192,123456789,1000024984,,7/21/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,284,Market Period From: Field is required and cannot be null or empty
Dictionary of feminist theologies,Methodologies,12345XX-38393,123456789,1000033726,,7/22/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,285,Market Period From: Field is required and cannot be null or empty
Dictionary of feminist theologies,Incarnation,12345XX-38394,123456789,1000004318,,7/23/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,286,Market Period From: Field is required and cannot be null or empty
Dictionary of feminist theologies,Evil,12345XX-38395,123456789,1000013348,,7/24/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,287,Market Period From: Field is required and cannot be null or empty
Dictionary of feminist theologies,Sin,12345XX-38396,123456789,1000030918,,7/25/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,288,Market Period From: Field is required and cannot be null or empty
Dictionary of feminist theologies,?Grace,12345XX-38397,123456789,1000011157,,7/26/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,289,Market Period From: Field is required and cannot be null or empty
Forbes (1918- ),Forbes.com,12345XX-53623,123456789,1000022183,,8/28/2014,,23.25,Univ,,2015,,,290,Market Period From: Field is required and cannot be null or empty
Fundamentals of industrial hygiene,,12345XX-55699,123456789,1000010505,,8/29/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,291,Market Period From: Field is required and cannot be null or empty
Fundamentals of industrial hygiene,,12345XX-55701,123456789,1000015572,,8/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,292,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,,12345XX-55954,123456789,1000010044,,8/31/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,293,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,HSC2220,12345XX-55958,123456789,1000016330,,9/1/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,294,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55959,123456789,1000016834,,9/2/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,295,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55960,123456789,1000013238,,9/3/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,296,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,,12345XX-55963,123456789,1000029236,,9/4/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,297,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,HSC2220,12345XX-55967,123456789,1000014399,,9/5/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,298,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55968,123456789,1000008080,,9/6/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,299,Market Period From: Field is required and cannot be null or empty
Galen on the affected parts : translation from the Greek text with explanatory notes,PAGES 102-103,12345XX-55969,123456789,1000009396,,9/7/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,300,Market Period From: Field is required and cannot be null or empty
Galen on the usefulness of the parts of the body : Peri chreias morion [romanized form] De usu partium,HSC2220,12345XX-55970,123456789,1000010935,,9/8/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,301,Market Period From: Field is required and cannot be null or empty
Galen on the usefulness of the parts of the body : Peri chreias morion [romanized form] De usu partium,HSC2220,12345XX-55971,123456789,1000019164,,9/9/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,302,Market Period From: Field is required and cannot be null or empty
German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57985,123456789,1000018628,,9/10/2014,,23.25,Univ,,2015,,,303,Market Period From: Field is required and cannot be null or empty
German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57986,123456789,1000013309,,9/11/2014,,23.25,Univ,,2015,,,304,Market Period From: Field is required and cannot be null or empty
German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57990,123456789,1000016526,,9/12/2014,,23.25,Univ,,2015,,,305,Market Period From: Field is required and cannot be null or empty
German feminist poems from the Middle Ages to the present,I'm Doing Fine,12345XX-57991,123456789,1000011459,,9/13/2014,,23.25,Univ,,2015,,,306,Market Period From: Field is required and cannot be null or empty
Groundwater and wells,,12345XX-60679,123456789,1000022998,,9/14/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,307,Market Period From: Field is required and cannot be null or empty
Groundwater and wells,,12345XX-60681,123456789,1000006208,,9/15/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,308,Market Period From: Field is required and cannot be null or empty
Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61026,123456789,1000002854,,9/16/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,309,Market Period From: Field is required and cannot be null or empty
Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61028,123456789,1000027583,,9/17/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,310,Market Period From: Field is required and cannot be null or empty
Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61031,123456789,1000009922,,9/18/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,311,Market Period From: Field is required and cannot be null or empty
Guidelines for employee health promotion programs,page5-34: Communication Network for Evaluation Reporting,12345XX-61033,123456789,1000014078,,9/19/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,312,Market Period From: Field is required and cannot be null or empty
Harvard business review (1922- ),Harvard Business Review,12345XX-63100,123456789,1000009692,,9/20/2014,,23.25,Univ,,2015,,,313,Market Period From: Field is required and cannot be null or empty
Harvard business review (1922- ),Harvard Business Review,12345XX-63223,123456789,1000010134,,9/21/2014,,23.25,Univ,,2015,,,314,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63419,123456789,1000012819,,9/22/2014,,23.25,Univ,,2015,,,315,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63420,123456789,1000026445,,9/23/2014,,23.25,Univ,,2015,,,316,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63421,123456789,1000007450,,9/24/2014,,23.25,Univ,,2015,,,317,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63529,123456789,1000002228,,9/25/2014,,23.25,Univ,,2015,,,318,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63530,123456789,1000019484,,9/26/2014,,23.25,Univ,,2015,,,319,Market Period From: Field is required and cannot be null or empty
Harvard Business School bulletin,Harvard Business School,12345XX-63531,123456789,1000034415,,9/27/2014,,23.25,Univ,,2015,,,320,Market Period From: Field is required and cannot be null or empty
Heresies (1977-1993),Seven Hypotheses on Female and Male Principles of Architecture,12345XX-64748,123456789,1000008337,,9/28/2014,,23.25,Univ,,2015,,,321,Market Period From: Field is required and cannot be null or empty
Heresies (1977-1993),Seven Hypotheses on Female and Male Principles of Architecture,12345XX-64760,123456789,1000008164,,9/29/2014,,23.25,Univ,,2015,,,322,Market Period From: Field is required and cannot be null or empty
Horse conformation : structure1088.89 soundness1088.89 and performance,,12345XX-66385,123456789,1000014618,,9/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,323,Market Period From: Field is required and cannot be null or empty
Horse conformation : structure1088.89 soundness1088.89 and performance,,12345XX-66394,123456789,1000014617,,10/1/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,324,Market Period From: Field is required and cannot be null or empty
Human embryology & developmental biology,PHL2130,12345XX-67386,123456789,1000021779,,10/2/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,325,Market Period From: Field is required and cannot be null or empty
Human embryology & developmental biology,PHL2130,12345XX-67391,123456789,1000001185,,10/3/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,326,Market Period From: Field is required and cannot be null or empty
Information systems management (1991- ),,12345XX-70508,123456789,1000005200,,10/4/2014,,23.25,Univ,,2015,,,327,Market Period From: Field is required and cannot be null or empty
Information systems management (1991- ),,12345XX-70511,123456789,1000010965,,10/5/2014,,23.25,Univ,,2015,,,328,Market Period From: Field is required and cannot be null or empty
Intensive care medicine,Intensive care medicine 32(9),12345XX-71492,123456789,1000017045,,10/6/2014,,23.25,Univ,,2015,,,329,Market Period From: Field is required and cannot be null or empty
Intensive care medicine,organ donation in paediatric traumatic brain injury,12345XX-71494,123456789,1000027448,,10/7/2014,,23.25,Univ,,2015,,,330,Market Period From: Field is required and cannot be null or empty
Intensive care medicine,Intensive care medicine 32(9),12345XX-71498,123456789,1000014147,,10/8/2014,,23.25,Univ,,2015,,,331,Market Period From: Field is required and cannot be null or empty
Intensive care medicine,organ donation in paediatric traumatic brain injury,12345XX-71500,123456789,1000014148,,10/9/2014,,23.25,Univ,,2015,,,332,Market Period From: Field is required and cannot be null or empty
Invitation to biology,The Digestive System,12345XX-74165,123456789,1000014149,,10/10/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,333,Market Period From: Field is required and cannot be null or empty
Invitation to biology,The Digestive System,12345XX-74171,123456789,1000000563,,10/11/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,334,Market Period From: Field is required and cannot be null or empty
Joint structure and function : a comprehensive analysis,COLLATERAL LIGAMENT SPRAIN; VOLAR PLATE,12345XX-75902,123456789,1000022340,,10/12/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,335,Market Period From: Field is required and cannot be null or empty
Joint structure and function : a comprehensive analysis,COLLATERAL LIGAMENT SPRAIN; VOLAR PLATE,12345XX-75917,123456789,1000000631,,10/13/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,336,Market Period From: Field is required and cannot be null or empty
Journal of abnormal psychology (1965- ),Reflections on Cultural Humility,12345XX-76094,123456789,1000001854,,10/14/2014,,23.25,Univ,,2015,,,337,Market Period From: Field is required and cannot be null or empty
Journal of abnormal psychology (1965- ),Reflections on Cultural Humility,12345XX-76104,123456789,1000014150,,10/15/2014,,23.25,Univ,,2015,,,338,Market Period From: Field is required and cannot be null or empty
Journal of manipulative and physiological therapeutics (1978- ),THE NECK DISABILITY INDEX QUESTIONNAIRE,12345XX-79501,123456789,1000003835,,10/16/2014,,23.25,Univ,,2015,,,339,Market Period From: Field is required and cannot be null or empty
Journal of manipulative and physiological therapeutics (1978- ),THE NECK DISABILITY INDEX QUESTIONNAIRE,12345XX-79505,123456789,1000025065,,10/17/2014,,23.25,Univ,,2015,,,340,Market Period From: Field is required and cannot be null or empty
Journal of pediatric nursing,Sheltering children (vol 181088.89 no 2),12345XX-79898,123456789,1000020275,,10/18/2014,,23.25,Univ,,2015,,,341,Market Period From: Field is required and cannot be null or empty
Journal of pediatric nursing,Sheltering children (vol 181088.89 no 2),12345XX-79966,123456789,1000020564,,10/19/2014,,23.25,Univ,,2015,,,342,Market Period From: Field is required and cannot be null or empty
Journal of post anesthesia nursing (1986-1996),What floor nurses want to hear from you,12345XX-80576,123456789,1000014151,,10/20/2014,,23.25,Univ,,2015,,,343,Market Period From: Field is required and cannot be null or empty
Journal of post anesthesia nursing (1986-1996),What floor nurses want to hear from you,12345XX-80588,123456789,1000013349,,10/21/2014,,23.25,Univ,,2015,,,344,Market Period From: Field is required and cannot be null or empty
Journal of post anesthesia nursing (1986-1996),What floor nurses want to hear from you,12345XX-80615,123456789,1000013785,,10/22/2014,,23.25,Univ,,2015,,,345,Market Period From: Field is required and cannot be null or empty
Journal of post anesthesia nursing (1986-1996),What floor nurses want to hear from you,12345XX-80627,123456789,1000023734,,10/23/2014,,23.25,Univ,,2015,,,346,Market Period From: Field is required and cannot be null or empty
Laboratory anatomy of the fetal pig,,12345XX-83788,123456789,1000013786,,10/24/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,347,Market Period From: Field is required and cannot be null or empty
Laboratory anatomy of the fetal pig,,12345XX-83791,123456789,1000018206,,10/25/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,348,Market Period From: Field is required and cannot be null or empty
Laboratory embryology of the chick,,12345XX-83806,123456789,1000008152,,10/26/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,349,Market Period From: Field is required and cannot be null or empty
Laboratory embryology of the chick,,12345XX-83809,123456789,1000011418,,10/27/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,350,Market Period From: Field is required and cannot be null or empty
Laboratory investigations in biology,,12345XX-83814,123456789,1000016994,,10/28/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,351,Market Period From: Field is required and cannot be null or empty
Laboratory investigations in biology,,12345XX-83818,123456789,1000003959,,10/29/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,352,Market Period From: Field is required and cannot be null or empty
Leading and leadership,The Antileadership Vaccine,12345XX-85069,123456789,1000004025,,10/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,353,Market Period From: Field is required and cannot be null or empty
Leading and leadership,The Antileadership Vaccine,12345XX-85076,123456789,1000032184,,10/31/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,354,Market Period From: Field is required and cannot be null or empty
Learning to weave,,12345XX-85333,123456789,1000034273,,11/1/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,355,Market Period From: Field is required and cannot be null or empty
Learning to weave,,12345XX-85335,123456789,1000002556,,11/2/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,356,Market Period From: Field is required and cannot be null or empty
Los Angeles times (1881- ),The Los Angeles Times,12345XX-87678,123456789,1000027524,,11/3/2014,,23.25,Univ,,2015,,,357,Market Period From: Field is required and cannot be null or empty
Los Angeles times (1881- ),The Los Angeles Times,12345XX-87700,123456789,1000002787,,11/4/2014,,23.25,Univ,,2015,,,358,Market Period From: Field is required and cannot be null or empty
Maigret's boyhood friend,Maigret's Boyhood Friend,12345XX-88199,123456789,1000015150,,11/5/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,359,Market Period From: Field is required and cannot be null or empty
Maigret's boyhood friend,Maigret's Boyhood Friend,12345XX-88202,123456789,1000005969,,11/6/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,360,Market Period From: Field is required and cannot be null or empty
Marriott's practical electrocardiography,(Illustration),12345XX-89847,123456789,1000022693,,11/7/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,361,Market Period From: Field is required and cannot be null or empty
Marriott's practical electrocardiography,(Illustration),12345XX-89851,123456789,1000025073,,11/8/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,362,Market Period From: Field is required and cannot be null or empty
Mediation and facilitation training manual : foundations and skills for constructive conflict transformation,Selected Conflict-Related Themes in the Bible,12345XX-91342,123456789,1000015501,,11/9/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,363,Market Period From: Field is required and cannot be null or empty
Mediation and facilitation training manual : foundations and skills for constructive conflict transformation,Selected Conflict-Related Themes in the Bible,12345XX-91344,123456789,1000017622,,11/10/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,364,Market Period From: Field is required and cannot be null or empty
Mind1088.89 mood & memory : maintaining mental fitness from middle age and beyond,Managing your mood can benefit your health,12345XX-93278,123456789,1000013558,,11/11/2014,,23.25,Univ,,2015,,,365,Market Period From: Field is required and cannot be null or empty
Mind1088.89 mood & memory : maintaining mental fitness from middle age and beyond,Managing your mood can benefit your health,12345XX-93285,123456789,1000029663,,11/12/2014,,23.25,Univ,,2015,,,366,Market Period From: Field is required and cannot be null or empty
Monthly review (1949- ),A NOTE ON THE COMMUNIST MANIFESTO (VOL 501088.89 NO 11088.89 MAY 98),12345XX-94810,123456789,1000025475,,11/13/2014,,23.25,Univ,,2015,,,367,Market Period From: Field is required and cannot be null or empty
Monthly review (1949- ),A NOTE ON THE COMMUNIST MANIFESTO (VOL 501088.89 NO 11088.89 MAY 98),12345XX-94871,123456789,1000000824,,11/14/2014,,23.25,Univ,,2015,,,368,Market Period From: Field is required and cannot be null or empty
Mother baby journal : MBJ (1996-2000 ),The significance of the neutrophil in the diagnosis of neonatal sepsis: Using a metaphor,12345XX-95413,123456789,1000010531,,11/15/2014,,23.25,Univ,,2015,,,369,Market Period From: Field is required and cannot be null or empty
Mother baby journal : MBJ (1996-2000 ),The significance of the neutrophil in the diagnosis of neonatal sepsis: Using a metaphor,12345XX-95432,123456789,1000030313,,11/16/2014,,23.25,Univ,,2015,,,370,Market Period From: Field is required and cannot be null or empty
Music in theory and practice,Two-Voice Eighteenth-Century Counterpoint,12345XX-97039,123456789,1000014248,,11/17/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,371,Market Period From: Field is required and cannot be null or empty
Music in theory and practice,Two-Voice Eighteenth-Century Counterpoint,12345XX-97067,123456789,1000018813,,11/18/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,372,Market Period From: Field is required and cannot be null or empty
National geographic (1959- ),Amelia earhart,12345XX-97950,123456789,1000022700,,11/19/2014,,23.25,Univ,,2015,,,373,Market Period From: Field is required and cannot be null or empty
National geographic (1959- ),Amelia earhart,12345XX-97953,123456789,1000009162,,11/20/2014,,23.25,Univ,,2015,,,374,Market Period From: Field is required and cannot be null or empty
National geographic (1959- ),Disease Makes Pariahs of Yellowstone's Bison,12345XX-97957,123456789,1000023479,,11/21/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,375,Market Period From: Field is required and cannot be null or empty
National geographic (1959- ),Disease Makes Pariahs of Yellowstone's Bison,12345XX-98012,123456789,1000025246,,11/22/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,376,Market Period From: Field is required and cannot be null or empty
Neonatal network : NN (1981- ),Parents as Partners in the NICU,12345XX-99038,123456789,1000004394,,11/23/2014,,23.25,Univ,,2015,,,377,Market Period From: Field is required and cannot be null or empty
Neonatal network : NN (1981- ),Parents as Partners in the NICU,12345XX-99417,123456789,1000026786,,11/24/2014,,23.25,Univ,,2015,,,378,Market Period From: Field is required and cannot be null or empty
Nephrology nursing journal (2000- ),Dry Weight: to be set or not to be?that is a good question,12345XX-99842,123456789,1000011051,,11/25/2014,,23.25,Univ,,2015,,,379,Market Period From: Field is required and cannot be null or empty
Nephrology nursing journal (2000- ),Laboratory Data Evaluation: How Does the Renal Dietitian Interpret Results,12345XX-99845,123456789,1000008936,,11/26/2014,,23.25,Univ,,2015,,,380,Market Period From: Field is required and cannot be null or empty
Nephrology nursing journal (2000- ),Dry Weight: to be set or not to be?that is a good question,12345XX-100021,123456789,1000015689,,11/27/2014,,23.25,Univ,,2015,,,381,Market Period From: Field is required and cannot be null or empty
Nephrology nursing journal (2000- ),Laboratory Data Evaluation: How Does the Renal Dietitian Interpret Results,12345XX-100024,123456789,1000006910,,11/28/2014,,23.25,Univ,,2015,,,382,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),The Best Defense,12345XX-101207,123456789,1000024804,,11/29/2014,,23.25,Univ,,2015,,,383,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),Owner's Manual's for Buildings,12345XX-101208,123456789,1000023770,,11/30/2014,,23.25,Univ,,2015,,,384,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),Alarm systems and false alarms,12345XX-101212,123456789,1000009784,,12/1/2014,,23.25,Univ,,2015,,,385,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),The Best Defense,12345XX-101348,123456789,1000033071,,12/2/2014,,23.25,Univ,,2015,,,386,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),Owner's Manual's for Buildings,12345XX-101349,123456789,1000033442,,12/3/2014,,23.25,Univ,,2015,,,387,Market Period From: Field is required and cannot be null or empty
NFPA journal (1991- ),Alarm systems and false alarms,12345XX-101353,123456789,1000022004,,12/4/2014,,23.25,Univ,,2015,,,388,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Warm Blankets,12345XX-102668,123456789,1000011158,,12/5/2014,,23.25,Univ,,2015,,,389,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-102711,123456789,1000032878,,12/6/2014,,23.25,Univ,,2015,,,390,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Nursing 27(8),12345XX-102910,123456789,1000020008,,12/7/2014,,23.25,Univ,,2015,,,391,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-103018,123456789,1000008938,,12/8/2014,,23.25,Univ,,2015,,,392,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Figure 3 Blood Components,12345XX-103049,123456789,1000023122,,12/9/2014,,23.25,Univ,,2015,,,393,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Performing a skin assessment,12345XX-103135,123456789,1000026050,,12/10/2014,,23.25,Univ,,2015,,,394,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-103322,123456789,1000031792,,12/11/2014,,23.25,Univ,,2015,,,395,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Recognizing Compartment Syndrome,12345XX-103427,123456789,1000022771,,12/12/2014,,23.25,Univ,,2015,,,396,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Warm Blankets,12345XX-103663,123456789,1000029459,,12/13/2014,,23.25,Univ,,2015,,,397,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-103706,123456789,1000013787,,12/14/2014,,23.25,Univ,,2015,,,398,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Nursing 27(8),12345XX-103905,123456789,1000002227,,12/15/2014,,23.25,Univ,,2015,,,399,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-104013,123456789,1000005554,,12/16/2014,,23.25,Univ,,2015,,,400,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Figure 3 Blood Components,12345XX-104044,123456789,1000024504,,12/17/2014,,23.25,Univ,,2015,,,401,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Performing a skin assessment,12345XX-104130,123456789,1000019172,,12/18/2014,,23.25,Univ,,2015,,,402,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Getting through the night: Compassionate care is never wasted1088.89 even when the patient seems unaware of it,12345XX-104317,123456789,1000027505,,12/19/2014,,23.25,Univ,,2015,,,403,Market Period From: Field is required and cannot be null or empty
Nursing (1971- ),Recognizing Compartment Syndrome,12345XX-104422,123456789,1000018642,,12/20/2014,,23.25,Univ,,2015,,,404,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Nursing Management,12345XX-105312,123456789,1000012757,,12/21/2014,,23.25,Univ,,2015,,,405,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Though-full Nursing Practice,12345XX-105321,123456789,1000028877,,12/22/2014,,23.25,Univ,,2015,,,406,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Thought-full Nursing Practice,12345XX-105332,123456789,1000003653,,12/23/2014,,23.25,Univ,,2015,,,407,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Nursing Management,12345XX-105368,123456789,1000003917,,12/24/2014,,23.25,Univ,,2015,,,408,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Though-full Nursing Practice,12345XX-105377,123456789,1000017784,,12/25/2014,,23.25,Univ,,2015,,,409,Market Period From: Field is required and cannot be null or empty
Nursing management (1981- ),Thought-full Nursing Practice,12345XX-105388,123456789,1000026039,,12/26/2014,,23.25,Univ,,2015,,,410,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105872,123456789,1000017136,,12/27/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,411,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105873,123456789,1000007799,,12/28/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,412,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105884,123456789,1000010106,,12/29/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,413,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105885,123456789,1000008875,,12/30/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,414,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105886,123456789,1000011636,,12/31/2014,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,415,Market Period From: Field is required and cannot be null or empty
Objective IELTS.: self-study student's book,,12345XX-105898,123456789,1000020229,,1/1/2015,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,416,Market Period From: Field is required and cannot be null or empty
